,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
ee64629c-b2e7-476a-abee-3f1cd5e1c352,-0.07664714234307843,-0.11333813099520165,-0.04794794534308324,-0.07079129179058513,-0.06361171580227601,-0.09399032326638855,0.05869946344722238,0.08676172764360383,-1,AvgDist,1,euclidean,0,1715625456.949899,8
51f6f91d-ca90-4279-8901-d79a0f9bd3af,-0.07745556879355261,-0.11442212435651922,-0.04685145873279802,-0.0692681777127081,-0.06332295129201673,-0.09356363049205703,0.05823252072183037,0.0860996931707459,-1,AvgDist,1,euclidean,0,1715625456.949899,9
e8d51b51-1759-4061-baa6-0618c02f231d,-0.09423538898245577,-0.13900874151334713,-0.05934400983042731,-0.08755981274442777,-0.07823406452965247,-0.11534884244283168,0.07238307785121806,0.10675069481615375,-1,ens-AvgDist,1,euclidean,0,1715625456.949899,
faeb036b-6add-4190-83b8-7b6b03bd3a92,-0.2012010465010039,-0.296567381647034,-0.14965103299163646,-0.2218033390813265,-0.17861009995133564,-0.2638149205322669,0.1695530712596466,0.2505071591858718,-1,AvgDist,100,euclidean,0,1715625456.949899,0
37a1ccf1-02ca-4567-bd82-1e69ff720a96,-0.20752422298054324,-0.30531455833228766,-0.15284397483600265,-0.22614512717183963,-0.18285602777383508,-0.2696109855176102,0.17332775170661407,0.25568269687490663,-1,AvgDist,100,euclidean,0,1715625456.949899,1
2a8f00f1-91d1-48c5-a875-c55cbc4f5d65,-0.19515415591338678,-0.2874390886051227,-0.14472521593916438,-0.21417149345499034,-0.17342333609485,-0.2558763108325596,0.16464757579833433,0.24294434735203727,-1,AvgDist,100,euclidean,0,1715625456.949899,2
16869b59-91d4-4bec-bb42-ead7cb1876e6,-0.21778932426923156,-0.3213595775665181,-0.16605909406654998,-0.24603795347778482,-0.19537303591550892,-0.28865169266049556,0.1858738431464739,0.2746576361632955,-1,AvgDist,100,euclidean,0,1715625456.949899,3
1e541139-9edd-498e-97e4-e4299d3e3a5f,-0.2088462410125919,-0.3082014415309787,-0.16016935857989587,-0.23742519469077109,-0.1877003207111627,-0.2775118846935973,0.1789731256353122,0.2645978203174106,-1,AvgDist,100,euclidean,0,1715625456.949899,4
bbf9f67a-e331-45ac-be6a-00f9d6f1735d,-0.21798622363700426,-0.32148630477647694,-0.16663502682400338,-0.24692035461735248,-0.19577731408457297,-0.2891341450231702,0.1866147542551911,0.2756975642572323,-1,AvgDist,100,euclidean,0,1715625456.949899,5
b35716d1-99d7-4495-b4bd-1f3b4e10c2cf,-0.2225242480558725,-0.3282606867372264,-0.16773687394424824,-0.24873246281123335,-0.19852064169433423,-0.29343665468837427,0.18866349351522907,0.2789284167502038,-1,AvgDist,100,euclidean,0,1715625456.949899,6
4aff7c82-b6c1-4b76-b9ae-cb839140f557,-0.22637254516628783,-0.3336148469401738,-0.16522277019162854,-0.24532205858656358,-0.1988636260216967,-0.2940414758008785,0.1883310896082941,0.2785712979327844,-1,AvgDist,100,euclidean,0,1715625456.949899,7
